Lp.,Miasto,Odl od morza,Odl od centrum miasta,Odl od centrum handl.,Odl od glownej arterii,Liczba pokoi,Liczba łazienek,Powierzchnia,Piętro,Ilosc pieter,Cena za m2,Cena brutto
217,Gdynia,2.24,3.2,3.6,2.6,4,2,87.9,2,7,10107.00,888366.00
218,Gdynia,2.24,3.2,3.6,2.6,2,1,60,3,7,12070.00,724224.00
219,Gdynia,2.24,3.2,3.6,2.6,3,2,74,3,7,11331.00,838458.00
220,Gdańsk,8,5.32,2,4.12,2,1,50.1,0,2,17046.00,853985.00
221,Gdańsk,8,5.32,2,4.12,3,2,75.1,1,2,13980.00,1049895.00
222,Gdańsk,8,5.32,2,4.12,3,2,81.3,2,2,13952.00,1134262.00
223,Gdańsk,8,5.32,2,4.12,2,1,42.6,1,2,17860.00,760823.00
224,Sopot,0.9,1.6,3,0.8,3,2,61.3,3,3,24213.00,1484227.00
225,Sopot,0.9,1.6,3,0.8,2,1,53.5,3,3,24998.00,1337367.00
226,Sopot,0.9,1.6,3,0.8,3,2,77,1,3,22143.00,1705038.00
227,Sopot,0.9,1.6,3,0.8,4,2,90.9,1,3,21897.00,1990427.00
228,Gdańsk,8,5.32,2,4.12,2,1,46.5,0,3,13631.00,633858.00
229,Gdańsk,8,5.32,2,4.12,2,1,50.7,2,3,13608.00,689941.00
230,Gdańsk,8,5.32,2,4.12,3,1,60.7,1,3,13215.00,802175.00
231,Gdańsk,8,5.32,2,4.12,2,1,62.4,3,3,12590.00,785643.00
232,Gdańsk,8,5.32,2,4.12,3,1,64.7,0,3,12996.00,840831.00
233,Gdańsk,8,5.32,2,4.12,2,1,76.3,3,3,12384.00,944879.00
234,Gdańsk,2.3,7.3,0.8,0.5,1,1,34.6,1,3,19738.00,682928.00
235,Gdańsk,2.3,7.3,0.8,0.5,2,1,43.6,0,3,18800.00,819677.00
236,Gdańsk,2.3,7.3,0.8,0.5,2,1,50.9,2,3,18738.00,953765.00
237,Gdańsk,2.3,7.3,0.8,0.5,3,2,79,2,3,15201.00,1200889.00
238,Gdańsk,2.3,7.3,0.8,0.5,4,2,84.7,3,3,15391.00,1303657.00
239,Gdańsk,2.3,7.3,0.8,0.5,4,2,90.7,3,3,15790.00,1432110.00
240,Gdańsk,2.3,7.3,0.8,0.5,5,2,107.3,1,3,16273.00,1746134.00
