lp,tittle,rodzaj,rooms,price [euro],metraż,cena za metr kw [euro],cena za metr kw [zł],bathrooms,garage,terrace,zipcode,rok budowy,ilosc hoteli w poblizu jako wskaznik atrakcyjnosci miejsca
174,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,795000,325,2446,11252,4,1,1,41011,2000,2
175,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,825000,346,2384,10968,4,0,1,41011,0,2
176,"Piso en avenida de la República Argentina, Sevilla, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,855000,300,2850,13110,3,1,1,41011,1972,2
177,"Piso en avenida de la República Argentina, Sevilla, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,6 hab.,775000,280,2768,12732,2,1,0,41011,1963,2
178,"Piso en avenida de las Ciencias, Avenida de las Ciencias, Sevilla",mieszkanie,2 hab.,131500,84,1565,7201,1,0,0,41020,1997,6
179,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,4 hab.,230000,100,2300,10580,2,1,1,41020,1989,6
180,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,2 hab.,128000,67,1910,8788,1,1,0,41020,1998,6
181,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,1 hab.,105000,55,1909,8782,1,1,0,41020,2006,6
182,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,157260,84,1872,8612,2,1,0,41020,1998,6
183,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,145288,80,1816,8354,1,1,1,41020,1996,6
184,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,148470,82,1811,8329,2,1,1,41020,1997,6
185,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,167000,94,1777,8172,2,1,1,41020,0,6
186,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,2 hab.,146500,84,1744,8023,2,1,0,41020,1998,6
187,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,154000,90,1711,7871,2,1,0,41020,1996,6
188,"Piso en Avenida de las Ciencias, Sevilla",mieszkanie,3 hab.,154000,90,1711,7871,2,1,0,41020,1996,6
